Title;GivenName;infix;LastName;Email;RegistrationDate;DateOfBirth;username;ip;Country;user_info
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;24/6/2008 0:00:00;25/5/2000 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;25/8/2009 0:00:00;17/4/2002 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;17/7/2009 0:00:00;29/3/1998 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;18/9/2008 0:00:00;1/1/2000 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;5/6/2008 0:00:00;15/5/1991 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;5/6/2008 0:00:00;26/4/1996 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;;30/1/1985 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;20/5/2010 0:00:00;29/10/2003 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;4/9/2007 0:00:00;12/10/1998 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;26/11/2007 0:00:00;31/5/1999 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;31/10/2002 0:00:00;19/10/1995 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;19/4/1994 0:00:00;30/12/1991 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;23/10/2009 0:00:00;14/1/1992 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;27/9/2004 0:00:00;4/8/1994 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;30/5/2008 0:00:00;12/9/1999 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;12/4/1995 0:00:00;21/12/1992 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;14/3/2002 0:00:00;12/1/2000 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;4/7/2007 0:00:00;18/6/1995 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;25/8/2009 0:00:00;24/6/1994 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;20/1/2009 0:00:00;22/11/1994 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;7/12/2001 0:00:00;18/12/1990 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;7/7/2008 0:00:00;12/8/2000 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;5/12/2000 0:00:00;27/7/1992 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;10/5/2010 0:00:00;24/7/2002 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;4/7/1994 0:00:00;1/3/1991 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;20/5/2010 0:00:00;17/9/1999 0:00:00;;;;Recipient
;SDSDSDD;;JKJKJLNHHU;aaa@bbbb.ccc;21/8/2009 0:00:00;8/8/1998 0:00:00;;;;Recipient
